Method,multifieldqa_en,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,80.0,80.0,0.0,1362.9,15.3
STREAMING,66.7,66.7,80.0,690.1,17.7
H2O,15.6,15.6,80.0,712.1,24.7
SNAPKV,0.0,0.0,80.0,1053.6,2.2
PYRAMIDKV,45.2,45.2,80.0,658.2,17.0
ADAKV,1.1,1.1,91.9,653.8,26.9
OURS,20.2,20.2,80.0,696.3,23.9
