task,budget,method,sample_idx,score,word_rep,char_rep,collapsed_old,collapsed_new,onset,dispersion_cv,max_gap,recent500_coverage
qmsum,0.8,streaming,0,13.740458015267176,0.0078125,0.32313341493268055,0,0,23,13.304143793181405,1107.0,500
qmsum,0.8,streaming,1,13.131313131313133,0.006097560975609756,0.2849949647532729,0,0,29,16.20148632291638,1641.0,500
qmsum,0.8,streaming,2,8.938547486033519,0.03125,0.36422613531047265,0,0,48,22.313047742566038,3112.0,500
qmsum,0.8,streaming,3,11.320754716981133,0.0,0.29981884057971014,0,0,,19.99420207474776,2499.0,500
qmsum,0.8,streaming,4,4.166666666666667,0.007936507936507936,0.28797083839611176,0,0,62,17.945923985115062,2013.0,500
qmsum,0.8,streaming,5,5.3475935828877015,0.0,0.3055555555555556,0,0,,22.628302438707095,3201.0,500
qmsum,0.8,streaming,6,8.866995073891626,0.028901734104046242,0.37236962488563585,0,0,6,22.628302438707095,3201.0,500
qmsum,0.8,streaming,7,3.75,0.01910828025477707,0.3374642516682555,0,0,63,22.628302438707095,3201.0,500
qmsum,0.8,streaming,8,6.097560975609756,0.0,0.3689497716894977,0,0,,22.628302438707095,3201.0,500
qmsum,0.8,streaming,9,14.285714285714285,0.03333333333333333,0.29644670050761424,0,0,39,12.8825556009296,1038.0,500
qmsum,0.8,streaming,10,8.16326530612245,0.0125,0.3599624060150376,0,0,23,22.628302438707095,3201.0,500
qmsum,0.8,streaming,11,4.8484848484848495,0.01910828025477707,0.3374642516682555,0,0,63,22.628302438707095,3201.0,500
qmsum,0.8,streaming,12,14.049586776859504,0.017964071856287425,0.4117647058823529,0,0,5,20.393139713093806,2600.0,500
qmsum,0.8,streaming,13,8.24742268041237,0.0,0.3185328185328185,0,0,,20.36683909142766,2593.0,500
qmsum,0.8,streaming,14,13.13131313131313,0.0,0.2434017595307918,0,0,,19.663369832397546,2417.0,500
qmsum,0.8,streaming,15,12.093023255813954,0.07051282051282051,0.31381957773512476,0,0,22,17.220457988590535,1854.0,500
qmsum,0.8,streaming,16,13.714285714285715,0.03333333333333333,0.29644670050761424,0,0,39,12.8825556009296,1038.0,500
qmsum,0.8,streaming,17,12.264150943396226,0.0125,0.3599624060150376,0,0,23,22.628302438707095,3201.0,500
qmsum,0.8,streaming,18,5.847953216374268,0.014285714285714285,0.28938547486033517,0,0,22,22.09688123008186,3052.0,500
qmsum,0.8,streaming,19,8.040201005025125,0.01910828025477707,0.3374642516682555,0,0,63,22.628302438707095,3201.0,500
qmsum,0.8,streaming,20,9.859154929577466,0.0,0.2333804809052334,0,0,,20.648877318270845,2665.0,500
qmsum,0.8,streaming,21,10.869565217391305,0.019736842105263157,0.34472934472934474,0,0,24,22.628302438707095,3201.0,500
qmsum,0.8,streaming,22,2.424242424242424,0.0,0.3055555555555556,0,0,,22.628302438707095,3201.0,500
qmsum,0.8,streaming,23,8.121827411167512,0.0,0.29981884057971014,0,0,,19.99420207474776,2499.0,500
qmsum,0.8,streaming,24,16.87763713080169,0.024242424242424242,0.29022988505747127,0,0,91,14.526399756155296,1319.0,500
qmsum,0.8,streaming,25,6.097560975609756,0.0,0.2882527147087858,0,0,,14.634487357819824,1339.0,500
qmsum,0.8,streaming,26,9.523809523809526,0.0,0.2333804809052334,0,0,,20.648877318270845,2665.0,500
qmsum,0.8,streaming,27,9.183673469387756,0.028901734104046242,0.37236962488563585,0,0,6,22.628302438707095,3201.0,500
qmsum,0.8,streaming,28,6.862745098039215,0.025,0.3464788732394366,0,0,48,18.64854255149911,2174.0,500
qmsum,0.8,streaming,29,20.264317180616743,0.03333333333333333,0.29644670050761424,0,0,39,12.8825556009296,1038.0,500
qmsum,0.8,streaming,30,12.875536480686694,0.006097560975609756,0.2849949647532729,0,0,29,16.20148632291638,1641.0,500
qmsum,0.8,streaming,31,4.878048780487805,0.04,0.3333333333333333,0,0,55,22.628302438707095,3201.0,500
qmsum,0.8,streaming,32,9.467455621301776,0.01935483870967742,0.24845995893223818,0,0,62,22.1314270497851,3062.0,500
qmsum,0.8,streaming,33,13.617021276595745,0.017964071856287425,0.4117647058823529,0,0,5,20.393139713093806,2600.0,500
qmsum,0.8,streaming,34,4.25531914893617,0.0,0.3395225464190981,0,0,,18.954264000184647,2246.0,500
qmsum,0.8,streaming,35,7.575757575757576,0.0,0.2333804809052334,0,0,,20.648877318270845,2665.0,500
qmsum,0.8,streaming,36,14.37908496732026,0.0,0.2333804809052334,0,0,,20.648877318270845,2665.0,500
qmsum,0.8,streaming,37,8.139534883720929,0.04,0.3333333333333333,0,0,55,22.628302438707095,3201.0,500
qmsum,0.8,streaming,38,8.121827411167512,0.0,0.3185328185328185,0,0,,20.36683909142766,2593.0,500
qmsum,0.8,streaming,39,12.549019607843137,0.006097560975609756,0.2849949647532729,0,0,29,16.20148632291638,1641.0,500
qmsum,0.8,streaming,40,7.142857142857144,0.007936507936507936,0.28797083839611176,0,0,62,17.945923985115062,2013.0,500
qmsum,0.8,streaming,41,11.711711711711713,0.017964071856287425,0.4117647058823529,0,0,5,20.393139713093806,2600.0,500
qmsum,0.8,streaming,42,6.1349693251533735,0.014285714285714285,0.28938547486033517,0,0,22,22.09688123008186,3052.0,500
qmsum,0.8,streaming,43,10.256410256410257,0.018633540372670808,0.30028063610851263,0,0,18,17.867963717447953,1996.0,500
qmsum,0.8,streaming,44,6.9364161849710975,0.0,0.3395225464190981,0,0,,18.954264000184647,2246.0,500
qmsum,0.8,streaming,45,15.544041450777199,0.0,0.2723833543505675,0,0,,16.076073786521484,1616.0,500
qmsum,0.8,streaming,46,12.413793103448274,0.0,0.2723833543505675,0,0,,16.076073786521484,1616.0,500
qmsum,0.8,streaming,47,5.405405405405405,0.0078125,0.32313341493268055,0,0,23,13.304143793181405,1107.0,500
qmsum,0.8,streaming,48,5.031446540880503,0.014285714285714285,0.28938547486033517,0,0,22,22.09688123008186,3052.0,500
qmsum,0.8,streaming,49,9.734513274336283,0.017964071856287425,0.4117647058823529,0,0,5,20.393139713093806,2600.0,500
qmsum,0.8,h2o,0,6.329113924050632,0.702247191011236,0.9301270417422868,1,1,7,0.40744978485012956,5.0,401
qmsum,0.8,h2o,1,0.0,0.9192546583850931,1.0,1,1,0,0.4113372776459944,6.0,405
qmsum,0.8,h2o,2,4.137931034482759,0.9119496855345912,0.9883474576271186,1,1,2,0.38683000676272195,5.0,407
qmsum,0.8,h2o,3,1.9704433497536946,0.8975903614457831,1.0,1,1,6,0.4058626359425205,5.0,395
qmsum,0.8,h2o,4,4.18848167539267,0.5819209039548022,0.8444206008583691,1,1,8,0.40566996382337167,6.0,391
qmsum,0.8,h2o,5,4.739336492890995,0.827027027027027,0.9182509505703422,1,1,17,0.3811834515807004,5.0,414
qmsum,0.8,h2o,6,1.1976047904191618,0.9431818181818182,0.9887218045112782,1,1,2,0.4048502514224925,5.0,390
qmsum,0.8,h2o,7,2.4844720496894412,0.875,0.9655172413793104,1,1,7,0.436472079337404,5.0,418
qmsum,0.8,h2o,8,3.703703703703704,0.8448275862068966,0.9457221711131555,1,1,12,0.37080938271374153,4.0,399
qmsum,0.8,h2o,9,6.024096385542169,0.27741935483870966,0.7033985581874357,0,1,15,0.3966695674893423,5.0,406
qmsum,0.8,h2o,10,1.01010101010101,0.8611111111111112,0.9250814332247557,1,1,15,0.3728267998837571,4.0,421
qmsum,0.8,h2o,11,1.2048192771084338,0.875,0.9655172413793104,1,1,7,0.436472079337404,5.0,418
qmsum,0.8,h2o,12,5.2631578947368425,0.9389312977099237,0.9655688622754491,1,1,3,0.4328488106202999,6.0,409
qmsum,0.8,h2o,13,3.9603960396039604,0.7674418604651163,0.9091743119266055,1,1,20,0.42063458682958654,8.0,401
qmsum,0.8,h2o,14,19.35483870967742,0.23668639053254437,0.7651821862348178,0,1,0,0.4222557438363302,7.0,414
qmsum,0.8,h2o,15,15.261044176706825,0.5483870967741935,0.7656108597285067,1,1,44,0.4090640125715476,6.0,405
qmsum,0.8,h2o,16,13.872832369942198,0.27741935483870966,0.7033985581874357,0,1,15,0.3966695674893423,5.0,406
qmsum,0.8,h2o,17,1.8691588785046724,0.8611111111111112,0.9250814332247557,1,1,15,0.3728267998837571,4.0,421
