Method,gov_report,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,16.1,9.8,12.9,0.0,2824.5,19.6
STREAMING,15.8,9.6,12.7,80.0,2808.8,21.3
H2O,16.2,7.6,11.9,80.0,2826.5,22.3
SNAPKV,14.1,6.6,10.4,80.0,2936.3,20.1
PYRAMIDKV,16.4,7.9,12.2,80.0,3015.7,21.3
ADAKV,16.2,7.9,12.1,80.0,4368.5,20.1
OURS,15.9,7.3,11.6,80.0,5462.0,20.1
