Method,multifieldqa_en,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,80.0,80.0,0.0,1362.7,16.1
STREAMING,66.7,66.7,80.0,650.3,18.7
H2O,15.6,15.6,80.0,698.9,22.9
SNAPKV,0.0,0.0,80.0,1069.0,2.2
PYRAMIDKV,45.2,45.2,80.0,674.5,14.3
ADAKV,1.1,1.1,91.9,690.5,26.3
OURS,20.2,20.2,80.0,683.7,25.9
