Method,multifieldqa_en,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,80.0,80.0,0.0,1413.4,16.7
STREAMING,66.7,66.7,80.0,640.3,21.3
H2O,15.6,15.6,80.0,677.4,26.5
SNAPKV,0.0,0.0,80.0,0.0,0.0
PYRAMIDKV,8.9,8.9,80.0,636.8,27.9
ADAKV,8.9,8.9,80.0,654.7,28.0
OURS,20.2,20.2,80.0,681.5,26.7
