Method,narrativeqa,qasper,multifieldqa_en,hotpotqa,2wikimqa,gov_report,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,4.0,9.8,15.8,2.1,5.9,10.5,9.2,8.2,0.0,988.9,22.7
STREAMING,3.4,6.9,12.5,2.6,6.0,9.7,9.1,7.2,80.0,981.2,27.0
H2O,3.4,6.9,12.5,2.6,6.0,9.7,9.1,7.2,80.0,991.4,27.6
SNAPKV,3.4,6.9,12.5,2.6,6.0,9.7,9.1,7.2,80.0,988.5,27.2
PYRAMIDKV,3.4,7.7,12.6,2.5,6.0,9.2,8.4,7.1,80.0,983.4,27.0
ADAKV,3.4,6.9,12.5,2.6,6.0,9.7,9.1,7.2,80.0,977.7,27.5
OURS,3.4,6.9,12.5,2.6,6.0,9.7,9.1,7.2,80.0,1001.5,26.4
