Method,gov_report,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,19.9,19.9,0.0,2702.2,20.9
STREAMING,21.1,21.1,80.0,2326.4,23.5
H2O,25.0,25.0,80.0,2291.6,24.0
SNAPKV,0.0,0.0,80.0,2505.9,26.8
PYRAMIDKV,20.4,20.4,80.0,2261.4,24.1
ADAKV,20.4,20.4,80.0,2324.6,24.1
OURS,17.4,17.4,80.0,2452.1,24.1
