Config,qasper,hotpotqa,gov_report,Avg,Δ vs Default
λ=0.5,8.4,22.5,14.5,15.1,0.0
λ=1.0 (기본값),14.3,40.0,14.4,22.9,7.8
λ=2.0,9.3,42.5,14.5,22.1,7.0
