Method,hotpotqa,2wikimqa,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,11.9,16.6,14.2,0.0,3356.2,8.8
STREAMING,21.7,21.3,21.5,80.0,3395.9,7.9
H2O,22.4,20.8,21.6,80.0,3434.0,7.2
SNAPKV,19.6,21.4,20.5,80.0,3628.2,6.7
PYRAMIDKV,24.9,23.1,24.0,80.0,3476.8,6.9
ADAKV,24.9,22.5,23.7,80.0,3489.4,7.0
OURS,21.3,25.3,23.3,80.0,3507.4,7.1
