Method,narrativeqa,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,0.0,0.0,0.0,3184.8,3.2
STREAMING,5.0,5.0,80.0,2616.1,8.8
H2O,0.0,0.0,80.0,2906.2,3.0
SNAPKV,0.0,0.0,80.0,2857.0,3.0
PYRAMIDKV,0.0,0.0,80.0,2861.2,3.0
ADAKV,0.0,0.0,80.0,2905.6,3.0
OURS,0.0,0.0,80.0,3040.4,3.0
