Method,qasper,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,19.3,19.3,0.0,1557.2,20.7
STREAMING,20.4,20.4,80.0,1224.7,16.8
H2O,8.2,8.2,80.0,1224.5,23.3
SNAPKV,4.9,4.9,80.0,1174.3,26.2
PYRAMIDKV,21.8,21.8,80.0,1189.9,18.3
ADAKV,9.1,9.1,80.0,1191.9,22.8
OURS,29.9,29.9,80.0,1225.2,22.5
