Method,multifieldqa_en,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,80.0,80.0,0.0,1196.4,15.8
STREAMING,61.5,61.5,80.0,654.9,22.3
H2O,0.8,0.8,80.0,715.3,22.1
SNAPKV,75.9,75.9,80.0,667.0,20.5
PYRAMIDKV,0.0,0.0,80.0,744.9,19.1
ADAKV,0.0,0.0,80.0,711.7,18.0
OURS,0.6,0.6,80.0,731.5,23.7
