Budget,FULLKV,ADAKV,OURS,Pct_of_FullKV_%,Δ_OURS_vs_AdaKV
10%,14.3,14.9,14.8,103.5,-0.1
20%,14.3,17.7,16.9,118.2,-0.8
30%,14.3,16.8,16.9,118.2,0.1
40%,14.3,16.6,15.9,111.2,-0.7
50%,14.3,16.8,15.7,109.8,-1.1
