Method,gov_report,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,19.9,19.9,0.0,2914.8,21.0
STREAMING,21.1,21.1,80.0,2386.1,23.6
H2O,25.0,25.0,80.0,2291.0,23.9
SNAPKV,0.0,0.0,80.0,2404.4,25.3
PYRAMIDKV,20.4,20.4,80.0,2283.1,24.1
ADAKV,20.4,20.4,80.0,2340.4,24.1
OURS,17.4,17.4,80.0,2377.1,24.1
