Method,qasper,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,7.9,7.9,0.0,1077.7,26.2
STREAMING,0.0,0.0,80.0,855.5,27.5
H2O,0.0,0.0,80.0,860.5,27.6
SNAPKV,0.0,0.0,80.0,858.1,28.0
PYRAMIDKV,0.0,0.0,80.0,858.6,0.0
ADAKV,0.0,0.0,80.0,857.4,27.4
OURS,0.0,0.0,80.0,895.6,28.9
