Config,qasper,hotpotqa,Avg,Δ vs Default
λ=0.5,8.4,22.5,15.4,0.0
λ=1.0 (기본값),14.3,40.0,27.1,11.7
λ=2.0,9.3,42.5,25.9,10.4
"Default (0.40,0.20,0.20,0.20)",14.3,40.0,27.1,0.0
"Uniform (0.25,0.25,0.25,0.25)",12.5,5.0,8.8,-18.4
"Attn-Heavy (0.55,0.15,0.15,0.15)",7.1,50.0,28.6,1.4
