Method,narrativeqa,qasper,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,4.9,3.6,4.3,0.0,1556.7,20.8
ADAKV,1.2,2.2,1.7,80.0,1492.1,23.2
OURS,1.2,1.6,1.4,80.0,1631.0,23.9
