Method,multifieldqa_en,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,80.0,80.0,0.0,1209.5,15.0
STREAMING,66.7,66.7,80.0,761.0,17.2
H2O,15.6,15.6,80.0,707.6,19.7
SNAPKV,0.0,0.0,80.0,1058.2,2.2
PYRAMIDKV,45.2,45.2,80.0,678.6,13.9
ADAKV,61.5,61.5,80.0,696.3,12.9
OURS,28.9,28.9,80.0,704.4,20.6
