Method,narrativeqa,qasper,multifieldqa_en,hotpotqa,2wikimqa,gov_report,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,14.9,24.7,46.3,17.6,16.6,17.6,9.5,21.0,0.0,1597.1,18.2
STREAMING,16.5,18.8,31.4,23.3,24.9,16.8,8.6,20.1,80.0,1461.3,14.3
H2O,13.5,18.9,25.3,13.5,19.1,16.3,7.7,16.3,80.0,1662.5,15.8
SNAPKV,13.1,13.7,25.4,16.5,18.6,15.8,7.0,15.7,80.0,1791.4,13.8
PYRAMIDKV,13.3,21.1,26.9,16.4,22.4,16.3,8.3,17.8,80.0,1662.4,15.9
ADAKV,13.4,20.8,26.9,16.4,20.1,16.2,8.1,17.4,80.0,1671.9,14.5
OURS,12.2,16.4,24.5,18.5,23.6,16.0,8.2,17.1,80.0,1750.6,13.8
