Method,qasper,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FULLKV,0.0,0.0,0.0,1034.3,0.0
STREAMING,0.0,0.0,80.0,819.5,0.0
H2O,0.0,0.0,80.0,825.0,0.0
SNAPKV,0.0,0.0,80.0,826.4,0.0
PYRAMIDKV,0.0,0.0,80.0,843.7,0.0
ADAKV,0.0,0.0,80.0,820.9,0.0
OURS,0.0,0.0,80.0,878.2,0.0
