Method,gov_report,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps
FullKV,15.8,8.9,12.4,0.0,1059.9,24.0
StreamingLLM,17.6,8.0,12.8,80.0,1758.6,23.1
H2O,4.9,1.3,3.1,80.0,1804.5,25.6
SnapKV,2.0,0.3,1.1,80.0,1802.0,27.0
PyramidKV-adapted,9.1,0.9,5.0,80.0,1793.0,26.3
AdaKV-adapted,9.1,0.9,5.0,80.0,2080.5,26.9
SalienceKV_wo_sink,9.0,2.4,5.7,80.0,1874.8,25.3
SalienceKV_Sink4,15.4,7.5,11.5,80.0,1952.5,25.4
