Method,Cap,Budget,Prefill_ms,Compression_ms,First_Decode_Step_ms,Decode_Throughput_tok_s,Legacy_TTFT_ms,Legacy_Throughput_tok_s,Memory_Reduction_pct
FullKV,default,20%,792.5,0.0,35.6,31.08,847.7,22.25,0.0
StreamingLLM,default,20%,784.1,611.0,31.9,32.95,1430.4,30.83,80.0
H2O,default,20%,785.3,823.6,32.0,32.75,1638.5,33.87,80.0
SnapKV,default,20%,781.2,827.8,31.9,32.69,1637.2,35.79,80.0
PyramidKV-adapted,default,20%,781.1,824.1,31.4,33.4,1634.4,34.41,80.0
AdaKV-adapted,default,20%,784.6,832.1,31.8,32.76,1646.5,33.73,80.0
SalienceKV (w/o sink),default,20%,780.8,888.7,31.4,33.23,1698.8,34.22,80.0
SalienceKV-Sink-4,default,20%,787.5,882.3,32.2,32.63,1699.6,33.73,80.0
