Method,qmsum,gov_report,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps,qmsum_collapse_%,qmsum_collapse_n,gov_report_collapse_%,gov_report_collapse_n,Avg_Collapse_%,Avg_Collapse_n
3signal_NVP,8.0,15.9,12.0,80.0,1865.3,26.5,0.0,0/30,0.0,0/30,0.0,0/60
4signal_NVPS,8.7,15.6,12.2,80.0,1907.6,26.5,0.0,0/30,0.0,0/30,0.0,0/60
wo_N,8.3,15.5,11.9,80.0,1847.4,27.0,0.0,0/30,0.0,0/30,0.0,0/60
wo_V,8.6,16.4,12.5,80.0,1850.1,25.8,0.0,0/30,0.0,0/30,0.0,0/60
wo_P,9.4,15.9,12.7,80.0,1864.7,26.7,0.0,0/30,3.3,1/30,1.7,1/60
N_only,8.8,15.8,12.3,80.0,1844.6,26.8,0.0,0/30,0.0,0/30,0.0,0/60
