Method,qmsum,gov_report,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps,qmsum_collapse_%,qmsum_collapse_n,gov_report_collapse_%,gov_report_collapse_n,Avg_Collapse_%,Avg_Collapse_n
3signal_NVP,3.5,11.1,7.3,80.0,1860.2,26.8,80.0,24/30,60.0,18/30,70.0,42/60
4signal_NVPS,3.1,12.4,7.8,80.0,1904.9,26.1,100.0,30/30,76.7,23/30,88.3,53/60
wo_N,8.6,17.2,12.9,80.0,1860.4,26.0,23.3,7/30,10.0,3/30,16.7,10/60
wo_V,2.5,9.3,5.9,80.0,1850.1,26.2,80.0,24/30,83.3,25/30,81.7,49/60
wo_P,7.1,12.3,9.7,80.0,1869.6,26.2,26.7,8/30,73.3,22/30,50.0,30/60
N_only,1.7,8.5,5.1,80.0,1851.9,26.7,80.0,24/30,100.0,30/30,90.0,54/60
