Method,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps,qmsum_collapse_%,qmsum_collapse_n,Avg_Collapse_%,Avg_Collapse_n
3signal_NVP,0.5,0.5,80.0,1277.6,32.6,100.0,2/2,100.0,2/2
4signal_NVPS,0.5,0.5,80.0,1075.1,33.4,100.0,2/2,100.0,2/2
wo_N,8.6,8.6,80.0,1038.1,33.5,0.0,0/2,0.0,0/2
wo_V,2.3,2.3,80.0,1035.5,31.6,50.0,1/2,50.0,1/2
wo_P,9.7,9.7,80.0,1030.1,33.5,0.0,0/2,0.0,0/2
N_only,0.9,0.9,80.0,1027.0,32.5,100.0,2/2,100.0,2/2
