Method,qmsum,gov_report,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps,qmsum_collapse_%,qmsum_collapse_n,gov_report_collapse_%,gov_report_collapse_n,Avg_Collapse_%,Avg_Collapse_n
SalienceKV_m0,9.1,14.9,12.0,80.0,2048.1,30.7,0.0,0/30,10.0,3/30,5.0,3/60
SalienceKV_m1,8.6,14.9,11.7,80.0,2005.2,29.1,0.0,0/30,0.0,0/30,0.0,0/60
SalienceKV_m2,8.5,14.9,11.7,80.0,2085.0,27.8,0.0,0/30,0.0,0/30,0.0,0/60
SalienceKV_m4,8.6,14.8,11.7,80.0,2134.9,30.7,0.0,0/30,0.0,0/30,0.0,0/60
SalienceKV_m8,8.8,14.7,11.7,80.0,1918.4,31.2,0.0,0/30,3.3,1/30,1.7,1/60
SalienceKV_m16,9.2,13.2,11.2,80.0,2030.0,31.0,0.0,0/30,0.0,0/30,0.0,0/60
AdaKV-adapted_m0,9.5,13.9,11.7,80.0,1889.6,31.0,33.3,10/30,50.0,15/30,41.7,25/60
AdaKV-adapted_m1,9.4,14.5,12.0,80.0,1823.6,31.0,0.0,0/30,6.7,2/30,3.3,2/60
AdaKV-adapted_m2,9.5,14.7,12.1,80.0,1836.9,30.6,0.0,0/30,6.7,2/30,3.3,2/60
AdaKV-adapted_m4,9.1,14.4,11.7,80.0,1816.4,29.9,0.0,0/30,3.3,1/30,1.7,1/60
AdaKV-adapted_m8,9.6,14.4,12.0,80.0,1800.2,30.1,0.0,0/30,0.0,0/30,0.0,0/60
AdaKV-adapted_m16,9.5,14.5,12.0,80.0,1830.3,30.7,0.0,0/30,0.0,0/30,0.0,0/60
PyramidKV-adapted_m0,9.5,14.0,11.7,80.0,1807.7,29.9,33.3,10/30,50.0,15/30,41.7,25/60
PyramidKV-adapted_m1,9.4,14.5,11.9,80.0,1792.7,30.8,0.0,0/30,6.7,2/30,3.3,2/60
PyramidKV-adapted_m2,9.4,14.6,12.0,80.0,1968.5,31.0,0.0,0/30,6.7,2/30,3.3,2/60
PyramidKV-adapted_m4,9.1,14.5,11.8,80.0,1880.6,31.1,0.0,0/30,3.3,1/30,1.7,1/60
PyramidKV-adapted_m8,9.6,14.3,12.0,80.0,1742.2,30.8,0.0,0/30,0.0,0/30,0.0,0/60
PyramidKV-adapted_m16,9.5,14.5,12.0,80.0,1738.4,30.4,0.0,0/30,0.0,0/30,0.0,0/60
H2O_m0,10.0,13.4,11.7,80.0,1739.3,31.5,16.7,5/30,50.0,15/30,33.3,20/60
H2O_m1,9.5,14.5,12.0,80.0,1790.0,29.7,0.0,0/30,6.7,2/30,3.3,2/60
H2O_m2,9.6,14.5,12.0,80.0,1850.0,30.4,0.0,0/30,6.7,2/30,3.3,2/60
H2O_m4,9.4,14.7,12.1,80.0,1811.7,30.3,0.0,0/30,3.3,1/30,1.7,1/60
H2O_m8,9.2,14.2,11.7,80.0,1850.7,29.6,0.0,0/30,0.0,0/30,0.0,0/60
H2O_m16,9.5,14.4,12.0,80.0,1838.4,29.5,0.0,0/30,0.0,0/30,0.0,0/60
SnapKV_m0,9.7,14.0,11.9,80.0,1776.0,30.7,0.0,0/30,0.0,0/30,0.0,0/60
SnapKV_m1,9.7,14.0,11.9,80.0,1771.7,29.6,0.0,0/30,0.0,0/30,0.0,0/60
SnapKV_m2,9.7,14.0,11.9,80.0,1808.9,29.5,0.0,0/30,0.0,0/30,0.0,0/60
SnapKV_m4,9.9,14.6,12.2,80.0,1894.4,30.8,0.0,0/30,3.3,1/30,1.7,1/60
SnapKV_m8,9.8,14.2,12.0,80.0,1864.5,30.5,0.0,0/30,0.0,0/30,0.0,0/60
SnapKV_m16,9.6,14.3,12.0,80.0,1836.1,29.8,0.0,0/30,0.0,0/30,0.0,0/60
