Method,narrativeqa,qasper,multifieldqa_en,hotpotqa,2wikimqa,gov_report,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps,narrativeqa_collapse_%,narrativeqa_collapse_n,qasper_collapse_%,qasper_collapse_n,multifieldqa_en_collapse_%,multifieldqa_en_collapse_n,hotpotqa_collapse_%,hotpotqa_collapse_n,2wikimqa_collapse_%,2wikimqa_collapse_n,gov_report_collapse_%,gov_report_collapse_n,qmsum_collapse_%,qmsum_collapse_n,Avg_Collapse_%,Avg_Collapse_n
FullKV,12.9,30.6,46.9,19.6,17.1,16.6,9.5,21.9,0.0,930.1,21.9,0.0,0/30,0.0,0/30,0.0,0/30,0.0,0/30,3.3,1/30,0.0,0/30,0.0,0/30,0.5,1/210
StreamingLLM,14.2,15.1,38.1,20.5,11.3,15.6,8.8,17.7,80.0,1460.3,27.4,0.0,0/30,0.0,0/30,0.0,0/30,0.0,0/30,3.3,1/30,0.0,0/30,0.0,0/30,0.5,1/210
H2O,10.6,7.8,23.1,9.9,4.9,13.4,10.0,11.4,80.0,1765.1,30.1,3.3,1/30,43.3,13/30,20.0,6/30,20.0,6/30,23.3,7/30,50.0,15/30,16.7,5/30,25.2,53/210
SnapKV,11.4,16.3,35.7,16.5,10.4,14.0,9.7,16.3,80.0,1725.0,30.5,0.0,0/30,3.3,1/30,0.0,0/30,3.3,1/30,0.0,0/30,0.0,0/30,0.0,0/30,1.0,2/210
PyramidKV-adapted,12.5,14.6,35.4,16.6,10.8,14.0,9.5,16.2,80.0,1694.6,29.7,0.0,0/30,16.7,5/30,0.0,0/30,16.7,5/30,6.7,2/30,50.0,15/30,33.3,10/30,17.6,37/210
AdaKV-adapted,12.5,14.6,35.4,16.6,10.8,13.9,9.5,16.2,80.0,1708.8,29.5,0.0,0/30,16.7,5/30,0.0,0/30,16.7,5/30,6.7,2/30,50.0,15/30,33.3,10/30,17.6,37/210
SalienceKV_wo_sink,11.0,15.6,29.0,16.5,13.3,14.9,9.1,15.6,80.0,1830.1,28.1,3.3,1/30,13.3,4/30,6.7,2/30,3.3,1/30,0.0,0/30,10.0,3/30,0.0,0/30,5.2,11/210
SalienceKV_Sink4,11.4,15.4,31.8,17.4,12.7,14.8,8.6,16.0,80.0,1881.2,29.1,0.0,0/30,0.0,0/30,0.0,0/30,0.0,0/30,0.0,0/30,0.0,0/30,0.0,0/30,0.0,0/210
