Method,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps,qmsum_collapse_%,qmsum_collapse_n,Avg_Collapse_%,Avg_Collapse_n
3signal_NVP,12.1,12.1,80.0,2969.3,17.9,0.0,0/2,0.0,0/2
4signal_NVPS,7.6,7.6,80.0,3046.0,21.8,50.0,1/2,50.0,1/2
wo_N,5.5,5.5,80.0,1780.7,22.5,50.0,1/2,50.0,1/2
wo_V,15.1,15.1,80.0,1862.1,20.8,0.0,0/2,0.0,0/2
wo_P,10.1,10.1,80.0,1888.5,21.5,0.0,0/2,0.0,0/2
N_only,12.7,12.7,80.0,1485.0,21.8,0.0,0/2,0.0,0/2
