Method,qmsum,gov_report,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps,qmsum_collapse_%,qmsum_collapse_n,gov_report_collapse_%,gov_report_collapse_n,Avg_Collapse_%,Avg_Collapse_n
3signal_NVP,9.3,14.1,11.7,80.0,1157.3,30.1,0.0,0/2,50.0,1/2,25.0,1/4
4signal_NVPS,5.6,14.9,10.2,80.0,1108.3,30.1,50.0,1/2,100.0,2/2,75.0,3/4
wo_N,8.6,19.6,14.1,80.0,1061.6,30.4,0.0,0/2,0.0,0/2,0.0,0/4
wo_V,7.5,15.4,11.4,80.0,1054.3,29.6,0.0,0/2,100.0,2/2,50.0,2/4
wo_P,7.7,11.0,9.4,80.0,1070.2,29.2,0.0,0/2,0.0,0/2,0.0,0/4
N_only,9.8,10.6,10.2,80.0,1052.3,29.3,0.0,0/2,50.0,1/2,25.0,1/4
