Method,qmsum,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps,qmsum_collapse_%,qmsum_collapse_n,Avg_Collapse_%,Avg_Collapse_n
3signal_NVP,9.3,9.3,80.0,3326.7,19.9,0.0,0/2,0.0,0/2
4signal_NVPS,11.0,11.0,80.0,1805.0,20.3,0.0,0/2,0.0,0/2
wo_N,8.5,8.5,80.0,1764.3,20.9,0.0,0/2,0.0,0/2
wo_V,11.1,11.1,80.0,1733.1,19.9,0.0,0/2,0.0,0/2
wo_P,11.8,11.8,80.0,1853.6,20.2,0.0,0/2,0.0,0/2
N_only,11.9,11.9,80.0,1672.5,20.4,0.0,0/2,0.0,0/2
