Method,qmsum,gov_report,Avg,Mem_Reduction_%,TTFT_ms,Throughput_tps,qmsum_collapse_%,qmsum_collapse_n,gov_report_collapse_%,gov_report_collapse_n,Avg_Collapse_%,Avg_Collapse_n
SalienceKV_m0,9.2,17.1,13.2,20.0,1838.1,30.1,0.0,0/30,0.0,0/30,0.0,0/60
SalienceKV_m1,9.1,16.5,12.8,20.0,1824.5,29.7,0.0,0/30,0.0,0/30,0.0,0/60
SalienceKV_m2,9.1,16.5,12.8,20.0,1828.3,29.1,0.0,0/30,0.0,0/30,0.0,0/60
SalienceKV_m4,8.9,16.6,12.7,20.0,2085.6,28.8,0.0,0/30,0.0,0/30,0.0,0/60
SalienceKV_m8,9.1,16.6,12.8,20.0,1953.2,29.8,0.0,0/30,0.0,0/30,0.0,0/60
SalienceKV_m16,9.1,16.5,12.8,20.0,1960.0,29.6,0.0,0/30,0.0,0/30,0.0,0/60
AdaKV-adapted_m0,9.4,16.7,13.0,20.0,1876.0,30.0,0.0,0/30,0.0,0/30,0.0,0/60
AdaKV-adapted_m1,9.1,16.4,12.7,20.0,1886.4,30.1,0.0,0/30,0.0,0/30,0.0,0/60
AdaKV-adapted_m2,9.1,16.4,12.7,20.0,1777.2,30.5,0.0,0/30,0.0,0/30,0.0,0/60
AdaKV-adapted_m4,9.2,16.4,12.8,20.0,1862.0,29.4,0.0,0/30,0.0,0/30,0.0,0/60
AdaKV-adapted_m8,9.0,16.3,12.7,20.0,1953.2,30.5,0.0,0/30,0.0,0/30,0.0,0/60
AdaKV-adapted_m16,9.0,16.4,12.7,20.0,1841.5,30.5,0.0,0/30,0.0,0/30,0.0,0/60
PyramidKV-adapted_m0,9.4,16.7,13.0,20.0,1815.0,28.8,0.0,0/30,0.0,0/30,0.0,0/60
PyramidKV-adapted_m1,9.1,16.4,12.7,20.0,1766.5,28.3,0.0,0/30,0.0,0/30,0.0,0/60
PyramidKV-adapted_m2,9.1,16.4,12.7,20.0,1859.3,30.4,0.0,0/30,0.0,0/30,0.0,0/60
PyramidKV-adapted_m4,9.2,16.4,12.8,20.0,1819.1,29.6,0.0,0/30,0.0,0/30,0.0,0/60
PyramidKV-adapted_m8,9.0,16.3,12.7,20.0,1831.8,28.1,0.0,0/30,0.0,0/30,0.0,0/60
PyramidKV-adapted_m16,9.0,16.4,12.7,20.0,1865.8,28.8,0.0,0/30,0.0,0/30,0.0,0/60
H2O_m0,9.4,17.2,13.3,20.0,1875.0,28.8,0.0,0/30,0.0,0/30,0.0,0/60
H2O_m1,9.2,16.4,12.8,20.0,1892.1,29.2,0.0,0/30,0.0,0/30,0.0,0/60
H2O_m2,9.1,16.4,12.8,20.0,1877.1,29.5,0.0,0/30,0.0,0/30,0.0,0/60
H2O_m4,9.2,16.5,12.9,20.0,1827.0,26.9,0.0,0/30,0.0,0/30,0.0,0/60
H2O_m8,9.1,16.4,12.7,20.0,1822.5,26.0,0.0,0/30,0.0,0/30,0.0,0/60
H2O_m16,9.0,16.3,12.7,20.0,2115.1,27.8,0.0,0/30,0.0,0/30,0.0,0/60
SnapKV_m0,9.5,16.4,12.9,20.0,2065.5,28.6,0.0,0/30,0.0,0/30,0.0,0/60
SnapKV_m1,9.5,16.4,12.9,20.0,2049.6,28.6,0.0,0/30,0.0,0/30,0.0,0/60
SnapKV_m2,9.5,16.4,12.9,20.0,1945.0,29.9,0.0,0/30,0.0,0/30,0.0,0/60
SnapKV_m4,9.3,16.6,12.9,20.0,2041.8,25.7,0.0,0/30,0.0,0/30,0.0,0/60
SnapKV_m8,9.4,16.6,13.0,20.0,1844.2,28.2,0.0,0/30,0.0,0/30,0.0,0/60
SnapKV_m16,9.5,16.7,13.1,20.0,1755.6,30.3,0.0,0/30,0.0,0/30,0.0,0/60
